rank,spotify_id,track_name,artists,search_query
51,0HaRLPnr887lcQM2YQzkff,For My Hand (feat. Ed Sheeran),Burna Boy; Ed Sheeran,Burna Boy Ed Sheeran For My Hand (feat. Ed Sheeran)
52,5tpft20jhQvRlG3O7XfwWy,Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee),Tyler ICU; Tumelo_za; DJ Maphorisa; Nandipha808; Ceeka RSA; Tyrone Dee,Tyler ICU Tumelo_za DJ Maphorisa Nandipha808 Ceeka RSA Tyrone Dee Mnike (feat. DJ Maphorisa; Nandipha808; Ceeka RSA & Tyron Dee)
53,4otA4JHWkokv4qAj1Pp2U5,Money Moves,Fido,Fido Money Moves
54,5hohPxxNfGRbW0PG2R0mhd,Be There Still,Davido,Davido Be There Still
55,7yKjDDd9w01nFEOD5adoHq,Do I - Remix,Phyno; Burna Boy,Phyno Burna Boy Do I - Remix
56,4nFrcGM7MY1mpoQCC7Kefj,Me & U,Tems,Tems Me & U
57,6HTjqv0AsiZ34fOMcGCbSX,Bad Vibes (feat. Seyi Vibez),Ayra Starr; Seyi Vibez,Ayra Starr Seyi Vibez Bad Vibes (feat. Seyi Vibez)
58,1IMRi5UVOV77PsAgdWDvzh,Egwu,Chike; Mohbad,Chike Mohbad Egwu
59,10TygH7MoyZQFRMPDE2N6Z,Romeo Must Die (RMD),Ruger; BNXN,Ruger BNXN Romeo Must Die (RMD)
60,1D1M805zV8DwhYXsvJdQZx,Burning,Tems,Tems Burning
61,771KDfpsOtJPQmocQpMdkR,Fi Kan We Kan,BNXN; Rema,BNXN Rema Fi Kan We Kan
62,4ou5xyFUJX4VwX76tw1qb1,Fall,Davido,Davido Fall
63,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema; Selena Gomez,Rema Selena Gomez Calm Down (with Selena Gomez)
64,4RoKNqyZ9622tcAeNPNv5k,City Boys,Burna Boy,Burna Boy City Boys
65,4FwFYYUzsA3YN2cNeVtdgg,Blessings,DJ Boat; Vudumane,DJ Boat Vudumane Blessings
66,0pHeUkxz9WffSOZnoKW1qc,Gyae Me,DJ Boat; Supa Gaeta; Medikal,DJ Boat Supa Gaeta Medikal Gyae Me
67,0CwJSnVuQ05wuqYMZvAVGb,You Bad,Emxbeatz; DJ Boat,Emxbeatz DJ Boat You Bad
68,3BRna1YDKLEtiEiJ0ArbSA,Offa Me (feat. Victoria Monét),Davido; Victoria Monét,Davido Victoria Monét Offa Me (feat. Victoria Monét)
69,6cyXHTix4NQ069gKJEYv41,Tshwala Bam (feat. S.N.E),TitoM; Yuppe; Burna Boy; S.N.E,TitoM Yuppe Burna Boy S.N.E Tshwala Bam (feat. S.N.E)
70,0hW02S9ACVYANz1ica10jH,Love Don't Cost A Dime (Re-Up),Magixx; Ayra Starr,Magixx Ayra Starr Love Don't Cost A Dime (Re-Up)
71,5rFZHAhav5kGsSAKtQHRHq,Most Wanted,Zinoleesky,Zinoleesky Most Wanted
72,26b3oVLrRUaaybJulow9kz,People,Libianca,Libianca People
73,1mk8ZC9OeTZMr8Wy31LqRj,FEEL,Davido,Davido FEEL
74,4lVEVXrlQlXPdYWMGTwrFe,Overloading (OVERDOSE),Mavins; Crayon; Ayra Starr; LADIPOE; Magixx; Boy Spyce,Mavins Crayon Ayra Starr LADIPOE Magixx Boy Spyce Overloading (OVERDOSE)
75,5GkkuEEPtYguzhTdCpS8Ab,99 (feat. Daecolm),Olamide; Seyi Vibez; Asake; Young Jonn; Daecolm,Olamide Seyi Vibez Asake Young Jonn Daecolm 99 (feat. Daecolm)
76,1iBWjQ9af9NnUd5xnQDB3k,Charm,Rema,Rema Charm
77,2yskKhqtDAHJ73obmJh8tf,everyday,Fireboy DML,Fireboy DML everyday
78,7ErtOGQ9DwyQa3lwP77j4u,Asiwaju,Ruger,Ruger Asiwaju
79,2nPAyl10PdXNMqqvXycOJD,Okirika,Loti; taves,Loti taves Okirika
80,4Gasn91fsCefnN8zM5GjA8,Finesse,Pheelz; BNXN,Pheelz BNXN Finesse
81,2nYeyMeqYDiFSYYtl2BWD6,Piece of My Heart (feat. Brent Faiyaz),Wizkid; Brent Faiyaz,Wizkid Brent Faiyaz Piece of My Heart (feat. Brent Faiyaz)
82,4tr4oHjFijp0EgISHYDIXe,Sip (Alcohol),Joeboy,Joeboy Sip (Alcohol)
83,1W8gIJp8h0DbYRJOEg7I5m,Detty December,Kwaysi; DJ Boat,Kwaysi DJ Boat Detty December
84,58GA6ogxMNO5aEGnW9fbly,Woza,1da Banton,1da Banton Woza
85,4gvrJnKCKIPiacNsWVQwEU,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay; Dj Yo!; AX'EL,CKay Dj Yo! AX'EL love nwantiti (feat. Dj Yo! & AX'EL) - Remix
86,1Ad8oEhaNWDe5shUeZYlYH,City Boys,Burna Boy,Burna Boy City Boys
87,4AxG1T6UJJ4xCX4Wz6JDLG,People (feat. Ayra Starr & Omah Lay),Libianca; Ayra Starr; Omah Lay,Libianca Ayra Starr Omah Lay People (feat. Ayra Starr & Omah Lay)
88,0D6XSXGNj5CTGQQzKQKQQ2,Wickedest,Tems,Tems Wickedest
89,5c549LWiKCWGvcDsZwMN6v,Soundgasm,Rema,Rema Soundgasm
90,7M4FgT5jAGUuVehEt8T0RR,One Two Step,DJ Boat; Dr. Chaii; Kansah,DJ Boat Dr. Chaii Kansah One Two Step
91,6oOCGD2Sp9UTcDsuDz8Hdu,understand,Omah Lay,Omah Lay understand
92,1YgIvHDTvi1vosins1jyAC,Amapiano,Asake; Olamide,Asake Olamide Amapiano
93,2TOk5OzW5sL83ndKYZJmU7,Active,Asake; Travis Scott,Asake Travis Scott Active
94,1rHPk2p3MQTh2wloo3P9zE,Perfect Combi,King Promise; Gabzy,King Promise Gabzy Perfect Combi
95,3ZR7IlqBPK8TrJyZYfFX9L,who does that? (feat. Bella Shmurda),FOLA; Bella Shmurda,FOLA Bella Shmurda who does that? (feat. Bella Shmurda)
96,1DA2ADZs6O28y2rmdmpekw,2 Sugar (feat. Ayra Starr),Wizkid; Ayra Starr,Wizkid Ayra Starr 2 Sugar (feat. Ayra Starr)
97,3aGroTtXwkWJ7wOwKEI8Px,Who Is Your Guy? - Remix,Spyro; Tiwa Savage,Spyro Tiwa Savage Who Is Your Guy? - Remix
98,4eZZofkV1OQ9GDqAgHqNpA,Buga (Lo Lo Lo),Kizz Daniel; Tekno,Kizz Daniel Tekno Buga (Lo Lo Lo)
99,1oq33HJBs0rDmjjZ2rVFyG,Terminator,King Promise,King Promise Terminator
100,7ySC0IjVS1PMEdsZOvsUK2,OZEBA,Rema,Rema OZEBA
101,1LRGZESVn8eF7WVY5DzLNy,Ta Ta Ta (with Jason Derulo),Bayanni; Jason Derulo,Bayanni Jason Derulo Ta Ta Ta (with Jason Derulo)
102,0YfgKt9WlVCXPEx0HGvrds,Obimo,Adekunle Gold,Adekunle Gold Obimo
103,65cRt4uGMzo51AzXqptVsX,Billionaires Club,Olamide; Wizkid; Darkoo,Olamide Wizkid Darkoo Billionaires Club
104,05lhFsOWPXRjfGA7xY7XJz,Pressure,Seyi Vibez,Seyi Vibez Pressure
105,2pNjk1fIZTMtj8ry6SdEmB,Venus,Faceless; Serøtonin,Faceless Serøtonin Venus
106,4sm7xhaW2PT4iLuTtXaKa1,99 (feat. Daecolm),Olamide; Seyi Vibez; Asake; Young Jonn; Daecolm,Olamide Seyi Vibez Asake Young Jonn Daecolm 99 (feat. Daecolm)
107,6z5y2kdxF4XrEVRFVqdGVL,Asiwaju,Ruger,Ruger Asiwaju
108,0mCxHKr5bp05PMdD7jU4rW,Al-Jannah,Kizz Daniel; ODUMODUBLVCK; Bella Shmurda,Kizz Daniel ODUMODUBLVCK Bella Shmurda Al-Jannah
109,52ZxqHSe1HesJPwuuBiW4U,MARIO KART,Seyi Vibez,Seyi Vibez MARIO KART
110,00uXDC6A3RK2HJlTK6h0Ak,Luvaluvah,Olamide,Olamide Luvaluvah
111,4XHrQHvHWlE0RldeG8Nslq,Na Scra,Famous Pluto,Famous Pluto Na Scra
112,2qWwuCVeMjF9mUT0S5Iqvl,Bandana,Fireboy DML; Asake,Fireboy DML Asake Bandana
113,6n6J0mZb0ltWlt2AqobHVd,Black Girl Magic,Kizz Daniel,Kizz Daniel Black Girl Magic
114,47r4tUxUEOiDICuhfkIFKl,All The Love,Ayra Starr,Ayra Starr All The Love
115,2AKS1HhpLu2rgkojECUm3V,Playboy,Fireboy DML,Fireboy DML Playboy
116,1qxKva4IzWde7m2jLpZvDU,Active,Asake; Travis Scott,Asake Travis Scott Active
117,2GZNKi3rgaT1ZKpkKDkA0Y,Bend,Wizkid,Wizkid Bend
118,5HM5trJxTouv3eUVcbW8sh,Sensational (feat. Davido & Lojay),Chris Brown; Davido; Lojay,Chris Brown Davido Lojay Sensational (feat. Davido & Lojay)
119,03VSnJoeuY3BtyuZ8RSSF4,everyday,Fireboy DML,Fireboy DML everyday
120,25KjMlA0KAwRKS9JuT1NSq,Suru (feat. Stormzy),Asake; Stormzy,Asake Stormzy Suru (feat. Stormzy)
121,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),Rema; Selena Gomez,Rema Selena Gomez Calm Down (with Selena Gomez)
122,4vb777iaycnlFxVkJMmtfd,Peru,Fireboy DML; Ed Sheeran,Fireboy DML Ed Sheeran Peru
123,3H2bLX6U4kNuv04iTkCrSp,HAUSAPIANO - Remix,Kvng Vinci; Zerrydl,Kvng Vinci Zerrydl HAUSAPIANO - Remix
124,5VceXjXeBMGOHC04rjpyC7,4 Kampé II,Joé Dwèt Filé; Burna Boy,Joé Dwèt Filé Burna Boy 4 Kampé II
125,3rmqNsOiGqqvFNTmGlzl4R,Ta Ta Ta,Bayanni,Bayanni Ta Ta Ta
126,6tgEc2O1uFHcZDKPoo6PC8,ALREADY,Beyoncé; Shatta Wale; Major Lazer,Beyoncé Shatta Wale Major Lazer ALREADY
127,2QcTf5lLMrrWTiElDInpTb,I love you,Dadju; Tayc,Dadju Tayc I love you
128,3raxjPdY70b4a9ks1Bd0mz,Get it Right (feat. Asake),Tems; Asake,Tems Asake Get it Right (feat. Asake)
129,06QUZaXSOtwRNH1ZB20JgX,STEADILY,Mack H.D; CHUMA,Mack H.D CHUMA STEADILY
130,7fA7mrYaXVDVVGCAV65NRN,Higher,Burna Boy,Burna Boy Higher
131,0Em4eY10PGyiBlmjWxcav3,Party No Dey Stop,Adekunle Gold; Zinoleesky,Adekunle Gold Zinoleesky Party No Dey Stop
132,1QkUnVCGx3ghx0WG8XO4J7,Jay Jay,Ruger,Ruger Jay Jay
133,1RMEvuPu0Lq5GzBedlzEdA,Whine,Asake; LUDMILLA,Asake LUDMILLA Whine
134,3mARtPEP8hi1LzMctEwVN4,Tony Montana,Skepta; Portable; JAE5,Skepta Portable JAE5 Tony Montana
135,5tM3Fo4qBqDAwWJ9ZY5AtX,yawa,Fireboy DML,Fireboy DML yawa
136,6JvWMLscnWYkgX1zPufIGT,Kese (Dance),Wizkid,Wizkid Kese (Dance)
137,7vKXc90NT5WBm3UTT4iTVG,KANTE (feat. Fave),Davido; FAVE,Davido FAVE KANTE (feat. Fave)
138,5ITV0zqzjOYfFWpW0xBmRa,Show Me Love,WizTheMc; bees & honey,WizTheMc bees & honey Show Me Love
139,4zqRu31aWCiHeYMw9GptOO,Everything,Victony,Victony Everything
140,3z4CGd63tpUn9a6oQSG0CI,Location (feat. Burna Boy),Dave; Burna Boy,Dave Burna Boy Location (feat. Burna Boy)
141,4MzOppXoeKvDsVaNMeOK3C,Girlfriend,Ruger,Ruger Girlfriend
142,54HwZc6fEmR5EnjRT4oBq5,Very Soon,BNXN; FOLA,BNXN FOLA Very Soon
143,4UeTcl6NfFc85bZyuaB6BX,No Yawa,Eli Jae,Eli Jae No Yawa
144,20l4NPs2c9OBKBKUKRjxIy,Chandelier,Monaky,Monaky Chandelier
145,1xFkc8KXwVk1FoG5xhcU3H,See Me See God (SMSG),Barry Jhay,Barry Jhay See Me See God (SMSG)
146,4xVj25uTjTZCaHbSFbYwAE,Hey Jago,Poco Lee; Shoday; Rahman Jago,Poco Lee Shoday Rahman Jago Hey Jago
147,1pheB3ku1OKy80SaB8VXqG,Cough Syrup,BNXN; Victony,BNXN Victony Cough Syrup
148,5mhM7bfzv52bzfCzlq8vH1,Ngozi,Crayon; Ayra Starr,Crayon Ayra Starr Ngozi
149,2i5PqDEsME85JezRrq6BJy,Oshimiri,Ayo Maff; BNXN,Ayo Maff BNXN Oshimiri
150,5xZ4y9EgfmpogFKf1607lP,Titanium (feat. Chris Brown),Davido; Chris Brown,Davido Chris Brown Titanium (feat. Chris Brown)
151,2psl5iNJCrmmm2XtS7LZqb,Soundgasm,Rema,Rema Soundgasm
152,12jJRu9yInIX7oTxoXtM0S,Lomo Lomo,KiDi; Black Sherif,KiDi Black Sherif Lomo Lomo
153,4gNOP9BGhyl2apkm8Xy7Eg,FLAKO,Wizard Chan; ODUMODUBLVCK,Wizard Chan ODUMODUBLVCK FLAKO
154,7vAXxDFUHDPxWzSujxb8jB,Goodbye (Warm Up)(feat. Asake),Ayra Starr; Asake,Ayra Starr Asake Goodbye (Warm Up)(feat. Asake)
155,2v7r3nItoWRbCQBS1qFQnD,Trenches Luv,T.I BLAZE,T.I BLAZE Trenches Luv
156,05A6mr7C2bP7uPrEQrj9qk,Tested, Approved & Trusted,Burna Boy,Burna Boy Tested; Approved & Trusted
157,6HGL76EoYOTR2ETqucHxPA,You4Me,Tiwa Savage,Tiwa Savage You4Me
158,5yyVAz3WD6L6143oGfQ3AT,Free of Charge,Joeboy; Olamide,Joeboy Olamide Free of Charge
159,78JnyPSDt67KvELlYdQvcw,Verily,Bella Shmurda,Bella Shmurda Verily
160,3varTiHGif7hoPSflFz0pQ,Paris,King Promise,King Promise Paris
